key,next_key,model,active_pixel_ratio,active_mean,active_p50,active_p95,inactive_mean,inactive_p50,inactive_p95
GOPR0372_07_00/000047,GOPR0372_07_00/000048,spynet,0.4858767361111111,11.713972443477768,11.48811388015747,14.588145971298218,10.45657322509701,10.68342638015747,12.00051097869873
GOPR0372_07_00/000047,GOPR0372_07_00/000048,scflow,0.4858767361111111,7.28700763104115,8.159432411193848,11.276990175247192,8.472417544562663,9.191147804260254,11.372231531143187
GOPR0372_07_00/000048,GOPR0372_07_00/000049,spynet,0.4825347222222222,15.739414317578543,15.540029048919678,19.313811779022217,14.529959596951985,14.574115753173828,17.251285552978512
GOPR0372_07_00/000048,GOPR0372_07_00/000049,scflow,0.4825347222222222,5.226401952877429,4.746231555938721,10.801440954208374,6.342040289184627,5.913910388946533,11.788025140762327
GOPR0372_07_00/000049,GOPR0372_07_00/000050,spynet,0.4908723958333333,13.793831590782004,13.450105667114258,18.056111526489257,12.260791469798885,12.480716705322266,15.187473678588866
GOPR0372_07_00/000049,GOPR0372_07_00/000050,scflow,0.4908723958333333,7.109216112710692,7.012105941772461,11.731034660339354,8.292361068791948,8.632369041442871,12.201395416259766
GOPR0372_07_00/000050,GOPR0372_07_00/000051,spynet,0.4958550347222222,3.507932416662286,3.420217990875244,6.348655033111564,4.0715685873731084,4.266737937927246,6.293545961380004
GOPR0372_07_00/000050,GOPR0372_07_00/000051,scflow,0.4958550347222222,3.1543775432996455,3.1903257369995117,5.626747798919675,4.79961906388164,5.022231101989746,7.0141348361969
GOPR0372_07_00/000051,GOPR0372_07_00/000052,spynet,0.4793836805555556,6.333712972273595,6.452463150024414,8.204844236373901,6.783695159864353,7.133747577667236,8.602299356460572
GOPR0372_07_00/000051,GOPR0372_07_00/000052,scflow,0.4793836805555556,6.2773932881498835,6.925304412841797,8.564352321624755,7.647752758857358,7.803205490112305,9.517642974853516
GOPR0372_07_00/000052,GOPR0372_07_00/000053,spynet,0.45635850694444446,7.526962554707065,7.418805122375488,9.982702064514157,6.705763792561198,7.141429424285889,7.92111701965332
GOPR0372_07_00/000052,GOPR0372_07_00/000053,scflow,0.45635850694444446,6.580224938656012,7.289820671081543,8.603644561767577,7.0962099243031735,7.38053560256958,8.246416664123533
GOPR0372_07_00/000053,GOPR0372_07_00/000054,spynet,0.43904947916666665,7.997967232845361,8.120015144348145,9.630095291137696,8.096970424638974,8.304977416992188,9.8950119972229
GOPR0372_07_00/000053,GOPR0372_07_00/000054,scflow,0.43904947916666665,7.905663859745276,8.988280296325684,9.901898956298828,8.309020595353594,8.814184188842773,9.78055830001831
GOPR0372_07_00/000054,GOPR0372_07_00/000055,spynet,0.41520399305555555,6.3936523530927944,6.420475482940674,8.177151203155518,6.919540805427151,7.097992897033691,8.856811141967773
GOPR0372_07_00/000054,GOPR0372_07_00/000055,scflow,0.41520399305555555,6.520906157490439,7.110111713409424,8.222592258453368,7.085589957304308,7.422494411468506,8.611580276489256
